species;genus;family;body.size.avg;bs.metric;fecundity.avg;egg.diam.avg;notes;burrow.lough;traditional.burrow.classification;combined.burrow.classification
Faxonius eupunctus;Faxonius;cambaridae;17.25;cl;65.84;2;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius hylas;Faxonius;cambaridae;23.075;cl;120.02;1.865;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius illinoiensis;Faxonius;cambaridae;24.925;cl;84.25;2;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius immunis;Faxonius;cambaridae;28.77;cl;132.6975;1.7;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius indianensis;Faxonius;cambaridae;28.7;cl;149;1.8;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius jonesi;Faxonius;cambaridae;22.51;cl;74;1.6;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius juvenilis;Faxonius;cambaridae;24.18;cl;141;2.1;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius kentuckiensis;Faxonius;cambaridae;21.825;cl;111.65;1.825;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius limosus;Faxonius;cambaridae;29.8;cl;163;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius luteus;Faxonius;cambaridae;20.1;cl;139.5;1.875;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius marchandi;Faxonius;cambaridae;27.5;cl;65.6;1.7;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius mississippiensis;Faxonius;cambaridae;27.55;cl;134.5;1.85;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius neglectus;Faxonius;cambaridae;18.66;cl;161.93;1.8;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius palmeri;Faxonius;cambaridae;22.8;cl;177.5;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius placidus;Faxonius;cambaridae;21.45;cl;136.83;2;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius propinquus;Faxonius;cambaridae;20.37;cl;115.13;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius punctimanus;Faxonius;cambaridae;20.77;cl;425;2.3;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius quadruncus;Faxonius;cambaridae;21.3;cl;62;1.85;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius ronaldi;Faxonius;cambaridae;20.8;cl;194;2;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius rusticus;Faxonius;cambaridae;25.44;cl;187.085;1.85;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius spinosus;Faxonius;cambaridae;28.98;cl;174.33;2;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius stannardi;Faxonius;cambaridae;24.8;cl;154;1.9;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius validus;Faxonius;cambaridae;26.5;cl;161.66;1.72;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius virilis;Faxonius;cambaridae;34.06;cl;265.35;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius williamsi;Faxonius;cambaridae;21.5;cl;70;2.3;null;Non-burrower;Tertiary burrower;Open-water burrower
Orconectes stygocaneyi;Orconectes;cambaridae;38.9;cl;65.5;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Pacifastacus fortis;Pacifastacus;astacidae;35.24;cl;40.08;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Pacifastacus leniusculus;Pacifastacus;astacidae;42.52;cl;141.01;2.505;null;Non-burrower;Tertiary burrower;Open-water burrower
Paranephrops planifrons;Paranephrops;parastacidae;37.5;cl;100;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus acutus;Procambarus;cambaridae;36.2;cl;348;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus braswelli;Procambarus;cambaridae;25.5;cl;128.5;1.55;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus enoplosternum;Procambarus;cambaridae;28.95;cl;213.5;1.6;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus hayi;Procambarus;cambaridae;47;cl;200;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus howellae;Procambarus;cambaridae;28.3;cl;134;1.85;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus leonensis;Procambarus;cambaridae;35.66;cl;331;1.5;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus lunzi;Procambarus;cambaridae;26.6;cl;84;1.5;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus paeninsulanus;Procambarus;cambaridae;29.72;cl;149;1.6;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus pubescens;Procambarus;cambaridae;30.4;cl;217.7;1.5;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus raneyi;Procambarus;cambaridae;42.55;cl;352;1.9;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus seminolae;Procambarus;cambaridae;22.8;cl;145.2;1.4;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus spiculifer;Procambarus;cambaridae;49.55;cl;455;1.6;only have max clutch size;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus suttkusi;Procambarus;cambaridae;25.25;cl;184.5;1.5;null;Non-burrower;Tertiary burrower;Open-water burrower
Procambarus zonangulus;Procambarus;cambaridae;44.82;cl;202.99;2.4;null;Non-burrower;Tertiary burrower;Open-water burrower
